mm.dd,minflow
01-01,150
01-15,150
02-01,150
02-15,170
03-01,190
03-15,218
04-01,250
04-15,218
05-01,192
05-15,170
06-01,148
06-15,130
07-01,115
07-15,115
08-01,115
08-15,115
09-01,115
09-15,123
10-01,130
10-15,140
11-01,150
11-15,150
12-01,150
12-15,150
