mm.dd,minflow,
01-01,2500,
01-15,2500,
02-01,2500,
02-15,2500,
03-01,2500,
03-15,2500,
04-01,2500,
04-15,2500,
05-01,1900,
05-15,1420,
06-01,1060,
06-15,800,
07-01,610,
07-15,460,
08-01,340,
08-15,260,
09-01,260,
09-15,260,
10-01,320,
10-15,400,
11-01,760,
11-15,1380,
12-01,2500,
12-15,2500,
