mm-dd,minflow
01-01,800
01-15,800
02-01,800
02-15,800
03-01,800
03-15,800
04-01,910
04-15,1070
05-01,1200
05-15,3800
06-01,3800
06-15,3800
07-01,2150
07-15,1200
08-01,840
08-15,600
09-01,600
09-15,600
10-01,730
10-15,900
11-01,900
11-15,900
12-01,900
12-15,850
