mm.dd,minflow
01-01,2900
01-15,2900
02-01,2900
02-15,2900
03-01,2900
03-15,2900
04-01,2900
04-15,2900
05-01,2900
05-15,3500
06-01,3500
06-15,3500
07-01,3500
07-15,3000
08-01,2400
08-15,1900
09-01,1800
09-15,1700
10-01,1700
10-15,2050
11-01,2300
11-15,2500
12-01,2900
12-15,2900
