ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
DETO3,PQR,APR-SEP,NORTH SANTIAM - DETROIT DAM,600,450
DGGI1,PIH,APR-SEP,TETON - AB S. LEIGH CR NR DRIGGS,253,189.75
DLGM8,MSO,APR-SEP,CLARK FORK - AT DEER LODGE,130,97.5
DLLO3,PQR,APR-SEP,TUALATIN - NEAR DILLEY,60.74,45.555
DONO3,BOI,APR-SEP,DONNER UND BLITZEN - NR FRENCHGLEN,62.51,46.8825
DORO3,PQR,APR-SEP,ROW - DORENA DAM,142,106.5
DOTW1,SEW,APR-SEP,CHEHALIS - NEAR DOTY,71.89,53.9175
DRBI1,BOI,APR-SEP,DEADWOOD - BELOW DEADWOOD RES,131,98.25
DRMM8,MSO,APR-SEP,CLARK FORK - NR DRUMMOND,411,308.25
DRSW1,SEW,APR-SEP,DUNGENESS - NEAR SEQUIM,145,108.75
DSRW1,SEW,APR-SEP,DESCHUTES - NEAR RAINIER,41.22,30.915
DWRI1,MSO,APR-SEP,NF CLEARWATER - DWORSHAK DAM,2563,1922.25
EASI1,OTX,APR-SEP,MOYIE - AT EASTPORT,395,296.25
EASW1,PDT,APR-SEP,YAKIMA - AT EASTON,343,257.25
ECDO3,MFR,APR-SEP,ELK CREEK - NEAR DRAIN,23.31,17.4825
EGCO3,PDT,APR-SEP,EAGLE CREEK - ABOVE SKULL CK,174,130.5
EGLO3,MFR,APR-SEP,ROGUE - NEAR EAGLE POINT,766,574.5
EKTO3,MFR,APR-SEP,UMPQUA - NEAR ELKTON,1434,1075.5
ELKO3,MFR,APR-SEP,ELK CREEK - NEAR TRAIL,31.05,23.2875
ELWW1,SEW,APR-SEP,ELWHA - AT MCDONALD BRIDGE NEAR PORT ANGELES,469,351.75
EMMI1,BOI,APR-SEP,PAYETTE - NEAR EMMETT,1697,1272.75
ENVI1,OTX,APR-SEP,NF COEUR D ALENE - AT ENAVILLE,743,557.25
ESTO3,PQR,APR-SEP,CLACKAMAS - AT ESTACADA,733,549.75
EUGO3,PQR,APR-SEP,WILLAMETTE - AT EUGENE,1326,994.5
FALO3,PQR,APR-SEP,FALL CREEK - FALL CREEK RESERVOIR,111,83.25
FCFM8,MSO,APR-SEP,NF FLATHEAD - NEAR COLUMBIA FALLS,1750,1312.5
FFXW1,SEW,APR-SEP,CARBON - NEAR FAIRFAX,148,111
FISM8,MSO,APR-SEP,FISHER - NEAR LIBBY,220,165
FLGW4,RIW,APR-SEP,SNAKE - AB JACKSON L AT FLAGG R,527,395.25
FOSO3,PQR,APR-SEP,SOUTH SANTIAM - FOSTER DAM,524,393
FRMO3,PQR,APR-SEP,TUALATIN - AT FARMINGTON,176,132
FRNO3,PQR,APR-SEP,LONG TOM - FERN RIDGE DAM,73.24,54.93
FRYW1,OTX,APR-SEP,KETTLE - NEAR FERRY,1061,795.75
FSSO3,PQR,APR-SEP,NEHALEM - FOSS,336,252
GARW1,SEW,APR-SEP,SF SNOQUALMIE - NEAR GARCIA,98.61,73.9575
GCDW1,OTX,APR-SEP,COLUMBIA - GRAND COULEE DAM,62376,46782
SSFW1,SEW,APR-SEP,SF STILLAGUAMISH − AT JORDAN ROAD,400,300
GIBO3,PDT,APR-SEP,UMATILLA - NEAR GIBBON,82.43,61.8225
GLBW1,SEW,APR-SEP,SKYKOMISH - NEAR GOLD BAR,1362,1021.5
GORW1,SEW,APR-SEP,SKAGIT - AT NEWHALEM,2014,1510.5
GOSO3,PQR,APR-SEP,COAST FORK WILLAMETTE - NEAR GOSHEN,277,207.75
GPRO3,PQR,APR-SEP,MIDDLE SANTIAM - GREEN PETER DAM,301,225.75
GRAO3,MFR,APR-SEP,ROGUE - AT GRANTS PASS,952,714
GREW4,RIW,APR-SEP,GREYS - AB RES NR ALPINE,371,278.25
GVZW4,RIW,APR-SEP,GROS VENTRE - AT ZENITH,263,197.25
HAGW1,OTX,APR-SEP,HANGMAN CREEK - AT SPOKANE,44.6,33.45
HALI1,PIH,APR-SEP,BIG WOOD - AT HAILEY,257,192.75
HARO3,PQR,APR-SEP,WILLAMETTE - AT HARRISBURG,2717,2037.75
HCDI1,PDT,APR-SEP,SNAKE - AT HELLS CANYON DAM,8331,6248.25
HCRO3,PQR,APR-SEP,MF WILLAMETTE - HILLS CREEK DAM,323,242.25
HEII1,PIH,APR-SEP,SNAKE - NEAR HEISE,3878,2908.5
HHDW1,SEW,APR-SEP,GREEN - HOWARD HANSON DAM,264,198
HHWM8,MSO,APR-SEP,SF FLATHEAD - HUNGRY HORSE DAM,2099,1574.25
HLKW1,PDT,APR-SEP,YAKIMA - NEAR HORLICK,993,744.75
HODO3,PQR,APR-SEP,HOOD - NEAR TUCKER BRIDGE,267,200.25
HOPW1,OTX,APR-SEP,PALOUSE - AT HOOPER,147,110.25
HOTI1,BOI,APR-SEP,BRUNEAU - NEAR HOT SPRINGS,183,137.25
HRSI1,BOI,APR-SEP,PAYETTE - NEAR HORSESHOE BEND,1571,1178.25
HWRI1,PIH,APR-SEP,BIG LOST - AT HOWELL RANCH NEAR CHILLY,172,129
IHDW1,PDT,APR-SEP,SNAKE - ICE HARBOR DAM,24034,18025.5
IMNO3,PDT,APR-SEP,IMNAHA - AT IMNAHA,277,207.75
ISLI1,PIH,APR-SEP,HENRYS FORK - NEAR ISLAND PARK DAM,318,238.5
ISSW1,SEW,APR-SEP,ISSAQUAH CREEK - NEAR MOUTH,26.2,19.65
JASO3,PQR,APR-SEP,MF WILLAMETTE - AT JASPER,1026,769.5
JDAO3,PDT,APR-SEP,COLUMBIA - JOHN DAY DAM,94544,70908
JFFO3,PQR,APR-SEP,SANTIAM - AT JEFFERSON,1606,1204.5
JHNO3,PDT,APR-SEP,JOHN DAY - NEAR JOHN DAY,84.38,63.285
JKSW4,RIW,APR-SEP,SNAKE - NEAR JACKSON,2027,1520.25
JLKW4,RIW,APR-SEP,SNAKE - JACKSON LAKE AT DAM,854,640.5
KACW1,PDT,APR-SEP,KACHESS - NEAR EASTON,123,92.25
KEEW1,PDT,APR-SEP,YAKIMA - NEAR MARTIN,133,99.75
KERM8,MSO,APR-SEP,FLATHEAD - SELI’Š KSANKA QLISPE’ DAM,7128,5346
KIOW1,PDT,APR-SEP,YAKIMA - AT KIONA,2277,1707.75
KRBO3,MFR,APR-SEP,ILLINOIS - AT KERBY,202,151.5
KTFW1,OTX,APR-SEP,COLVILLE - AT KETTLE FALLS,145,108.75
LAUW1,OTX,APR-SEP,KETTLE - AT LAURIER,1954,1465.5
LEOI1,OTX,APR-SEP,KOOTENAI - AT LEONIA,7743,5807.25
LERI1,MSO,APR-SEP,LEMHI - NEAR LEMHI,123,92.25
LGDW1,OTX,APR-SEP,SNAKE - LOWER GRANITE DAM,23887,17915.25
LGNO3,PDT,APR-SEP,GRANDE RONDE - NEAR PERRY,197,147.75
LGSW1,Unk,APR-SEP,SNAKE - LITTLE GOOSE DAM,23887,17915.25
LLKW1,OTX,APR-SEP,SPOKANE - AT LONGLAKE,2742,2056.5
LMNW1,Unk,APR-SEP,SNAKE - LOWER MONUMENTAL DAM,24034,18025.5
LNDW1,SEW,APR-SEP,CEDAR - NEAR LANDSBURG,176,132
LOCI1,MSO,APR-SEP,LOCHSA - NEAR LOWELL,1527,1145.25
LOPO3,PQR,APR-SEP,MF WILLAMETTE - LOOKOUT POINT DAM,810,607.5
LOSO3,MFR,APR-SEP,ROGUE - LOST CREEK DAM,642,481.5
LSDW1,OTX,APR-SEP,LITTLE SPOKANE - AT DARTFORD,117,87.75
LSMO3,PQR,APR-SEP,LITTLE N SANTIAM - NEAR MEHAMA,141,105.75
LSTO3,PDT,APR-SEP,LOSTINE - NR LOSTINE,116,87
LUCI1,BOI,APR-SEP,BOISE - LUCKY PEAK DAM,1303,977.25
LYDM8,MSO,APR-SEP,KOOTENAI - LIBBY DAM,6551,4913.25
MACI1,PIH,APR-SEP,BIG LOST - MACKAY RESERVOIR NEAR MACKAY,172,129
MADO3,BOI,APR-SEP,MALHEUR - NEAR DREWSEY,64.59,48.4425
