ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
UMTW1,PDT,APR-SEP,YAKIMA - AT UMTANUM,1196,897
UNDW1,PDT,APR-SEP,WHITE SALMON - NEAR UNDERWOOD,388,291
UNYO3,PDT,APR-SEP,BURNT - NR HEREFORD,39.44,29.58
VALO3,BOI,APR-SEP,MALHEUR - NEAR VALE,177,132.75
VICM8,MSO,APR-SEP,BITTERROOT - NEAR VICTOR,1057,792.75
VIDO3,PQR,APR-SEP,MCKENZIE - NEAR VIDA,1206,904.5
WANQ2,CAN,APR-SEP,PEND OREILLE - AT WANETA DAM,15122,11341.5
WANW1,OTX,APR-SEP,COLUMBIA - WANAPUM DAM,68041,51030.75
WCHW1,SEW,APR-SEP,SAUK - ABOVE WHITE CHUCK,416,312
WDHN2,LKN,APR-SEP,OWYHEE - WILDHORSE DAM,19.04,14.28
WEII1,BOI,APR-SEP,SNAKE - AT WEISER,7688,5766
WELW1,OTX,APR-SEP,COLUMBIA - WELLS DAM,65154,48865.5
WFBM8,MSO,APR-SEP,WF BITTERROOT - NEAR CONNER,151,113.25
WGCM8,MSO,APR-SEP,MF FLATHEAD - NEAR WEST GLACIER,1697,1272.75
WHBI1,MSO,APR-SEP,SALMON - AT WHITEBIRD,6262,4696.5
WHRM8,MSO,APR-SEP,WHITEFISH - NEAR KALISPELL,120,90
WILW1,PQR,APR-SEP,WILLAPA - NEAR WILLAPA,82.26,61.695
WLAO3,PQR,APR-SEP,S YAMHILL - NEAR WILLAMINA,70.14,52.605
WLSO3,PQR,APR-SEP,WILLAMETTE - AT WILSONVILLE,5641,4230.75
WNRO3,MFR,APR-SEP,N UMPQUA - AT WINCHESTER,886,664.5
WODI1,PIH,APR-SEP,LITTLE WOOD - NEAR CAREY,77.56,58.17
WRAW1,SEW,APR-SEP,WHITE - AT R STREET,532,399
WSLO3,PQR,APR-SEP,TUALATIN - AT WEST LINN,206,154.5
WSNO3,MFR,APR-SEP,S UMPQUA - NEAR WINSTON,434,325.5
WSRI1,BOI,APR-SEP,WEISER - NEAR WEISER,376,282
WTHW1,OTX,APR-SEP,METHOW - AT WINTHROP,767,575.25
WTLO3,PQR,APR-SEP,SOUTH SANTIAM - AT WATERLOO,599,449.25
WYDW1,SEW,APR-SEP,WYNOOCHEE - WYNOOCHEE DAM,98.88,74.16
