mm.dd,minflow
43466,700
43480,700
43497,700
43511,750
43525,940
43539,1300
43556,1750
43570,2200
43586,2800
43600,3500
43617,2600
43631,1900
43647,1400
43661,1000
43678,840
43692,820
43709,780
43723,750
43739,700
43753,750
43770,750
43784,750
43800,750
43814,800
