NatFlowStationID,AVG30YR,PCT75NORMAL,basinStation
OKNW1,396.15,297.1125,OKANOGAN+AT+OROVILLE+  
NITW1,1703.14,1277.355,SIMILKAMEEN+NEAR+NIGHTHAWK+  
TONW1,1632.8,1224.6,OKANOGAN+NEAR+TONASKET+  
OKMW1,1663.4,1247.55,OKANOGAN+AT+MALOTT+  
WTHW1,720.25,540.1875,METHOW+AT+WINTHROP+  
PATW1,894.8,671.1,METHOW+NEAR+PATEROS+  
STHW1,790.88,593.16,STEHEKIN+AT+STEHEKIN+  
CHDW1,1126.8,845.1,CHELAN+LAKE+CHELAN+DAM+  
ARDW1,217.67,163.2525,ENTIAT+NEAR+ARDENVOIR+  
RRHW1,64558.41,48418.8075,COLUMBIA+ROCKY+REACH+DAM+  
PESW1,1488.87,1116.6525,WENATCHEE+AT+PESHASTIN+  
RISW1,66048.99,49536.7425,COLUMBIA+BLO+ROCK+ISLAND+DAM+  
KEEW1,131.81,98.8575,YAKIMA+NEAR+MARTIN+  
EASW1,344.17,258.1275,YAKIMA+AT+EASTON+  
KACW1,122.25,91.6875,KACHESS+NEAR+EASTON+  
CLEW1,417.33,312.9975,CLE+ELUM+NEAR+ROSLYN+  
HLKW1,989.35,742.0125,YAKIMA+NEAR+HORLICK+  
UMTW1,1169.21,876.9075,YAKIMA+AT+UMTANUM+  
BUMW1,123.55,92.6625,BUMPING+BELOW+BUMPING+DAM+  
CLFW1,412.76,309.57,NACHES+NEAR+CLIFFDEL+  
RIMW1,220.44,165.33,TIETON+AT+TIETON+DAM+  
NACW1,782.44,586.83,NACHES+NEAR+NACHES+  
PARW1,2025.46,1519.095,YAKIMA+NEAR+PARKER+  
KIOW1,2200.88,1650.66,YAKIMA+AT+KIONA+  
ANAW1,16768.77,12576.5775,SNAKE+NEAR+ANATONE+  
ASCW1,26.32,19.74,ASOTIN+CREEK+NEAR+ASOTIN+  
LGDW1,24511.85,18383.8875,SNAKE+LOWER+GRANITE+DAM+  
PULW1,9.41,7.0575,SF+PALOUSE+AT+PULLMAN+  
HOPW1,131.25,98.4375,PALOUSE+AT+HOOPER+  
MLKW1,26.89,20.1675,MILL+CREEK+NR+WALLA+WALLA+  
TCHW1,154.75,116.0625,WALLA+WALLA+NEAR+TOUCHET+  
MCDW1,93125.36,69844.02,COLUMBIA+MCNARY+DAM+  
PITW1,522.44,391.83,KLICKITAT+NEAR+PITT+  
UNDW1,373.91,280.4325,WHITE+SALMON+NEAR+UNDERWOOD+  
MEWW1,1086.76,815.07,LEWIS+MERWIN+DAM+  
PACW1,589.57,442.1775,COWLITZ+AT+PACKWOOD+  
RAWW1,949.03,711.7725,COWLITZ+AT+RANDLE+  
CIYW1,428.8,321.6,CISPUS+NEAR+RANDLE+  
COKW1,1673.14,1254.855,COWLITZ+NEAR+KOSMOS+  
TILW1,157.32,117.99,TILTON+NEAR+CINEBAR+  
MYDW1,1895.92,1421.94,COWLITZ+MAYFIELD+RESERVOIR+  
TOTW1,497.93,373.4475,TOUTLE+AT+TOWER+BRIDGE+  
CASW1,2520.79,1890.5925,COWLITZ+AT+CASTLE+ROCK+  
TDAO3,96011.72,72008.79,COLUMBIA+THE+DALLES+DAM+  
