mm-dd,minflow
01-01,860
01-15,830
02-01,820
02-15,850
03-01,880
03-15,900
04-01,925
04-15,1100
05-01,1750
05-15,3800
06-01,3800
06-15,3800
07-01,2100
07-15,1200
08-01,800
08-15,600
09-01,620
09-15,700
10-01,750
10-15,960
11-01,950
11-15,950
12-01,930
12-15,900
