mm.dd,minflow
01-01,250
01-15,250
02-01,250
02-15,250
03-01,250
03-15,250
04-01,250
04-15,250
05-01,210
05-15,160
06-01,118
06-15,90
07-01,68
07-15,52
08-01,38
08-15,35
09-01,35
09-15,35
10-01,43
10-15,54
11-01,91
11-15,150
12-01,250
12-15,250
12-31,250
