mm-dd,	minflow
01-01,	6000
01-15,	6000
02-01,	6000
02-15,	6000
03-01,	6000
03-15,	6000
04-01,	6000
04-15,	6500
05-01,	7200
05-15,	8000
06-01,	8000
06-15,	8000
07-01,	5700
07-15,	4000
08-01,	2800
08-15,	2000
09-01,	2000
09-15,	2000
10-01,	2900
10-15,	4000
11-01,	6000
11-15,	6000
12-01,	6000
12-15,	6000
12-31,	6000

