mm-dd,minflow
1-Jan,350
15-Jan,350
1-Feb,350
15-Feb,350
1-Mar,350
15-Mar,350
1-Apr,590
15-Apr,860
1-May,1300
15-May,1940
1-Jun,2220
15-Jun,2220
1-Jul,2150
15-Jul,800
1-Aug,480
15-Aug,300
1-Sep,300
15-Sep,300
1-Oct,360
15-Oct,425
1-Nov,425
15-Nov,425
1-Dec,390
15-Dec,350
