mm.dd,minflow
01-01,175
01-16,175
02-01,175
02-16,175
03-01,175
03-16,285
04-01,325
04-16,375
05-01,375
05-16,375
06-01,325
06-16,325
07-01,275
07-16,275
08-01,275
08-16,275
09-01,175
09-16,175
10-01,175
10-16,175
11-01,175
11-16,175
12-01,175
12-16,175
